signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,reason
2025-11-06 18:00:00+00:00,2025-11-06 20:00:00+00:00,2025-11-07 06:00:00+00:00,short,101323.5938,102447.7251,0.05166410163243281,-58.07723373139849,-4.737447958241015,0.6025893892653608,-62.212092300374145,10.0,signal_exit
2025-11-07 10:00:00+00:00,2025-11-07 12:00:00+00:00,2025-11-07 18:00:00+00:00,short,100367.8806,102416.71579999999,0.05543517268551043,-113.57753311615157,-5.058629603727992,0.24446712286725958,-118.3916955970123,6.0,signal_exit
2025-11-08 14:00:00+00:00,2025-11-08 16:00:00+00:00,2025-11-08 22:00:00+00:00,short,101645.4972,102260.669,0.06656022298422598,-40.94597218160743,-6.107417950558789,0.4533989176286479,-46.599991214537575,6.0,signal_exit
2025-11-09 02:00:00+00:00,2025-11-09 04:00:00+00:00,2025-11-09 12:00:00+00:00,short,101590.51370000001,102211.6543,0.07811375731196954,-48.51962608500992,-7.16388889086236,0.2749703510127416,-55.40854462485954,8.0,signal_exit
2025-11-12 10:00:00+00:00,2025-11-12 12:00:00+00:00,2025-11-12 14:00:00+00:00,long,105024.4979,102127.24882088191,0.06902823841706406,-199.99200018698278,-6.434694072522136,-0.18118100593220865,-206.60787526543714,2.0,stop
2025-11-12 14:00:00+00:00,2025-11-12 16:00:00+00:00,2025-11-13 08:00:00+00:00,short,102137.3496,103482.0353,0.058874427454871155,-79.16760069425274,-5.447575601824626,1.2018655057851126,-83.41331079029226,16.0,signal_exit
2025-11-13 14:00:00+00:00,2025-11-13 16:00:00+00:00,2025-11-15 04:00:00+00:00,short,101319.595,96472.9332,0.05273810540262522,255.60376085927734,-4.694041440028494,2.267447986551124,253.1771674058,36.0,signal_exit
2025-11-16 18:00:00+00:00,2025-11-16 20:00:00+00:00,2025-11-17 02:00:00+00:00,short,94015.7868,94819.43729999999,0.06247005214199597,-50.20408863894043,-5.308445833097622,0.44216302906104754,-55.070371442977006,6.0,signal_exit
2025-11-17 16:00:00+00:00,2025-11-17 18:00:00+00:00,2025-11-18 16:00:00+00:00,short,92744.16840000001,92970.8829,0.05258363431854609,-11.92147236271135,-4.394507555254153,1.4430395844988555,-14.872940333466648,22.0,signal_exit
2025-11-19 14:00:00+00:00,2025-11-19 16:00:00+00:00,2025-11-20 00:00:00+00:00,short,89911.0186,91581.4662,0.05144209387546364,-85.93132225324291,-4.20135904834774,0.4628470245136169,-89.66983427707703,8.0,signal_exit
2025-11-20 16:00:00+00:00,2025-11-20 18:00:00+00:00,2025-11-21 22:00:00+00:00,short,87226.8241,85191.5498,0.04565997001276223,92.93056350574585,-3.5426780018654513,1.3604330990339988,90.7483186029144,28.0,signal_exit
2025-11-24 10:00:00+00:00,2025-11-24 12:00:00+00:00,2025-11-24 18:00:00+00:00,short,86228.1238,88334.4924,0.05981056326239897,-125.98309240423085,-4.698309779765987,0.38895855974395144,-130.29244362425288,6.0,signal_exit
2025-11-24 16:00:00+00:00,2025-11-24 18:00:00+00:00,2025-11-25 10:00:00+00:00,long,88334.4924,87175.8394,0.056111195901590784,-65.01340546496618,-4.43164257467235,0.6975148266822402,-68.7475332129563,16.0,signal_exit
2025-11-25 08:00:00+00:00,2025-11-25 10:00:00+00:00,2025-11-26 18:00:00+00:00,short,87175.8394,89800.9322,0.06517768177828623,-171.09746315687028,-5.190721065671959,1.7307762099695077,-174.55740801257272,32.0,signal_exit
