entry_time,exit_time,dir,entry,exit,qty,pnl,reason
2021-02-06 16:00:00+00:00,2021-04-22 04:00:00+00:00,long,40258.99,54159.51,0.06471231804377897,897.0908552134241,ema_inverse
2021-05-16 16:00:00+00:00,2021-07-26 20:00:00+00:00,short,45573.29,37218.09,0.03962652790643865,329.77527199188336,ema_inverse
2021-07-28 08:00:00+00:00,2021-09-21 00:00:00+00:00,long,40729.99,42668.97,0.05300986742301817,101.01668561075691,ema_inverse
2021-09-21 00:00:00+00:00,2021-10-01 08:00:00+00:00,short,42668.97,46303.55843259155,0.06233378564262374,-228.77605406248105,stop
2021-10-03 16:00:00+00:00,2021-11-20 04:00:00+00:00,long,48774.37,58405.34,0.08448738881817114,810.0733735532657,ema_inverse
2021-12-04 08:00:00+00:00,2022-02-09 00:00:00+00:00,short,46483.34,43321.58,0.036746213287348437,114.8627110255773,ema_inverse
2022-02-20 04:00:00+00:00,2022-02-28 16:00:00+00:00,short,38770.4,40948.255766625945,0.11042092894848356,-244.00190007635862,stop
2022-03-06 00:00:00+00:00,2022-03-09 04:00:00+00:00,short,39281.9,41820.038891279866,0.0928242420753889,-238.6121092684924,stop
2022-03-10 04:00:00+00:00,2022-03-19 08:00:00+00:00,short,39219.9,41718.6,0.06862513861201845,-173.69540016246984,ema_inverse
2022-03-27 12:00:00+00:00,2022-04-06 16:00:00+00:00,long,44836.1,43284.03232544626,0.1464850227886308,-232.5179805132342,stop
2022-04-11 20:00:00+00:00,2022-04-19 12:00:00+00:00,short,39505.6,41713.08672807494,0.10088591076624455,-225.98183753895748,stop
2022-04-21 20:00:00+00:00,2022-07-21 20:00:00+00:00,short,40449.8,23144.5,0.09590653582545182,1657.2517308156937,ema_inverse
2022-07-26 20:00:00+00:00,2022-07-27 16:00:00+00:00,short,21241.0,22641.16326182878,0.17950028670478438,-254.48045128646194,stop
2022-08-20 08:00:00+00:00,2022-09-13 04:00:00+00:00,short,21220.1,22501.124755191122,0.1922211861310244,-249.60175617866048,stop
2022-09-13 12:00:00+00:00,2022-10-26 16:00:00+00:00,short,20823.9,20754.4,0.14985415817988007,7.922591535481462,ema_inverse
2022-11-09 16:00:00+00:00,2022-12-15 08:00:00+00:00,short,16764.5,17712.1,0.1206026205792848,-115.94623058439561,ema_inverse
2022-12-16 12:00:00+00:00,2023-01-10 00:00:00+00:00,short,16961.8,17199.9,0.3603142224958491,-90.71439492611704,ema_inverse
2023-01-14 00:00:00+00:00,2023-03-06 08:00:00+00:00,long,20996.3,22370.0,0.20141672787085407,273.19227977784607,ema_inverse
2023-03-08 20:00:00+00:00,2023-03-13 00:00:00+00:00,short,21695.4,22517.52760611107,0.29525483135975883,-247.95877989223143,stop
2023-03-15 04:00:00+00:00,2023-05-10 04:00:00+00:00,long,24892.0,27532.4,0.0993618469885027,260.27142670393704,ema_inverse
2023-06-21 08:00:00+00:00,2023-07-26 04:00:00+00:00,long,28913.5,29205.3,0.19837468119937998,53.27401260530272,ema_inverse
2023-08-17 20:00:00+00:00,2023-08-29 16:00:00+00:00,short,26609.7,28000.829641145454,0.17543216222890404,-247.88105820503094,stop
2023-08-31 16:00:00+00:00,2023-09-18 12:00:00+00:00,short,26148.7,27247.42836873517,0.21760725082396998,-243.73901360235124,stop
2023-09-25 04:00:00+00:00,2023-09-27 08:00:00+00:00,short,26176.8,26756.77860211487,0.40383641499299483,-242.7670820968897,stop
2023-09-27 12:00:00+00:00,2023-09-28 12:00:00+00:00,short,26293.4,27049.22931983579,0.30345625895884987,-235.83599970335115,stop
2023-09-30 12:00:00+00:00,2024-01-19 04:00:00+00:00,long,26986.2,41282.0,0.3227077019334496,4604.552495725356,ema_inverse
2024-02-08 16:00:00+00:00,2024-04-16 08:00:00+00:00,long,45260.1,63064.6,0.21412061694475978,3803.032703755233,ema_inverse
2024-05-17 12:00:00+00:00,2024-06-16 04:00:00+00:00,long,67170.0,66249.4,0.13556989703228342,-132.04070893596452,ema_inverse
2024-07-04 04:00:00+00:00,2024-07-14 20:00:00+00:00,short,58214.0,61113.0858008467,0.13457873772196008,-396.57886305885336,stop
2024-07-18 08:00:00+00:00,2024-08-02 20:00:00+00:00,long,64728.9,61694.81850021381,0.12597675124790295,-388.59431009936355,stop
2024-08-04 12:00:00+00:00,2024-08-23 16:00:00+00:00,short,59070.0,62772.1961711449,0.10114316661038611,-379.3812463814472,stop
2024-08-25 00:00:00+00:00,2024-08-27 20:00:00+00:00,long,64065.0,61390.701232257605,0.13718146366440367,-373.74829792284703,stop
2024-08-29 16:00:00+00:00,2024-09-18 20:00:00+00:00,short,59237.0,61735.3,0.10402865822247435,-264.9286312576426,ema_inverse
2024-09-19 00:00:00+00:00,2024-12-30 00:00:00+00:00,long,62086.5,93681.1,0.10974737446167446,3460.586363116342,ema_inverse
2025-01-04 04:00:00+00:00,2025-01-08 08:00:00+00:00,long,98244.2,95015.42590774529,0.1311031356851388,-433.4371850966669,stop
2025-01-17 16:00:00+00:00,2025-01-19 20:00:00+00:00,long,105770.9,101110.74585264703,0.08897423799749511,-421.9965189297594,stop
2025-01-19 20:00:00+00:00,2025-02-03 00:00:00+00:00,long,101311.5,95499.50236357239,0.06988883327947666,-411.69569036570323,stop
2025-02-03 16:00:00+00:00,2025-02-05 16:00:00+00:00,long,101831.9,97327.1,0.05823050317150345,-266.95562219944145,ema_inverse
2025-02-26 16:00:00+00:00,2025-03-02 16:00:00+00:00,short,83832.0,89528.16909493016,0.06892715104457633,-397.40039660582636,stop
2025-03-03 16:00:00+00:00,2025-04-20 12:00:00+00:00,short,85552.0,84304.5,0.050715921440483876,59.82234043294142,ema_inverse
2025-04-21 20:00:00+00:00,2025-06-22 08:00:00+00:00,long,87466.0,102693.7,0.13727701661828787,2079.97140343949,ema_inverse
2025-06-26 00:00:00+00:00,2025-08-21 00:00:00+00:00,long,107809.3,113912.1,0.11279008678526554,678.3321512538587,ema_inverse
2025-09-13 00:00:00+00:00,2025-09-22 04:00:00+00:00,long,115913.6,113173.45054568208,0.1609529789906621,-455.7841148455126,stop
2025-10-02 00:00:00+00:00,2025-10-10 20:00:00+00:00,long,118697.0,115453.7750810083,0.13317594247810544,-444.3928353165544,stop
2025-10-17 04:00:00+00:00,2025-10-20 08:00:00+00:00,short,105578.3,111401.24251261423,0.07264912501410647,-429.33702811266755,stop
2025-10-21 04:00:00+00:00,2025-10-21 12:00:00+00:00,short,108020.0,112298.1255602598,0.09687535630942197,-422.9822967526428,stop
2025-10-30 12:00:00+00:00,2026-01-05 16:00:00+00:00,short,107670.6,94248.6,0.08179091002975837,1091.1915323712244,ema_inverse
2026-01-23 12:00:00+00:00,2026-03-16 12:00:00+00:00,short,89711.2,73240.2,0.13164004749279673,2159.662850239848,ema_inverse
2026-03-22 04:00:00+00:00,2026-03-25 08:00:00+00:00,short,68884.5,71825.38445723048,0.1601567101848465,-480.01663257784566,stop
2026-03-27 16:00:00+00:00,2026-04-06 00:00:00+00:00,short,66005.4,69365.12060128507,0.1373334576916129,-468.8384077177001,stop
2026-05-06 08:00:00+00:00,2026-05-07 12:00:00+00:00,long,82485.4,79715.17601536478,0.16317282696452917,-462.6119695073516,stop
2026-05-10 20:00:00+00:00,2026-05-12 16:00:00+00:00,long,82177.7,80009.64714388421,0.20422612772503254,-456.0221970570002,stop
