signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,bars_held,reason
2024-03-11 20:00:00+00:00,2024-03-12 00:00:00+00:00,2024-03-15 00:00:00+00:00,long,72162.2155,68030.53445732495,0.04864681871340257,-200.99313866461574,-3.068969081448313,-23.475801708494885,-227.53790945455893,72.0,18,stop
2024-03-20 20:00:00+00:00,2024-03-21 00:00:00+00:00,2024-03-26 04:00:00+00:00,long,67893.7887,70539.9453,0.032282512555959236,85.42458366453447,-2.0110449402104944,-8.14367898876894,75.26985973555503,124.0,30,max_hold_time
2024-03-26 12:00:00+00:00,2024-03-26 16:00:00+00:00,2024-03-31 20:00:00+00:00,long,70339.0332,71115.8877,0.0460347998720478,35.76234143719982,-2.930332038546534,-31.806886423029567,1.0251229756237237,124.0,30,max_hold_time
2024-04-04 16:00:00+00:00,2024-04-04 20:00:00+00:00,2024-04-09 12:00:00+00:00,long,68485.8479,69301.46879750917,0.0550538833615034,44.90309775867469,-3.41357708797164,-13.00114177967197,28.488378891031083,112.0,28,trailing_stop
2024-04-09 12:00:00+00:00,2024-04-09 16:00:00+00:00,2024-04-12 16:00:00+00:00,long,69331.9325,67911.15343825625,0.056336357059750104,-80.0415165254122,-3.4792989720298078,-9.732460511794379,-93.2532760092364,72.0,18,trailing_stop
2024-05-17 12:00:00+00:00,2024-05-17 16:00:00+00:00,2024-05-22 20:00:00+00:00,long,67197.7191,69728.0265,0.06821564820047042,172.60655943744734,-4.203215321146519,-6.415903869279808,161.987440247021,124.0,30,max_hold_time
2024-05-22 16:00:00+00:00,2024-05-22 20:00:00+00:00,2024-05-23 20:00:00+00:00,long,69741.9735,66697.81886692595,0.06577725882484736,-200.23614720256927,-4.038585991437475,-1.881967204108534,-206.15670039811528,24.0,6,stop
2024-05-23 20:00:00+00:00,2024-05-24 00:00:00+00:00,2024-05-28 00:00:00+00:00,long,68011.8005,67889.91359814185,0.05673407377428367,-6.915140482138946,-3.469616043163014,-10.037564252661134,-20.422320777963094,96.0,24,trailing_stop
2024-06-04 00:00:00+00:00,2024-06-04 04:00:00+00:00,2024-06-07 16:00:00+00:00,long,69249.9243,69649.57595709524,0.08265070854860233,33.03149263154441,-5.166063950983062,-12.06434132561248,15.801087354948868,84.0,21,trailing_stop
2024-06-09 16:00:00+00:00,2024-06-09 20:00:00+00:00,2024-06-11 00:00:00+00:00,long,69765.9759,68131.49849670281,0.1206320911581863,-197.17042711054236,-7.485687315858021,-3.4841706634363625,-208.14028508983677,28.0,7,stop
2024-06-12 12:00:00+00:00,2024-06-12 16:00:00+00:00,2024-06-12 16:00:00+00:00,long,69751.9745,67244.35509144753,0.0766013348084811,-192.0869938867725,-4.722345769755375,0.0,-196.80933965652787,0.0,0,stop
2024-07-04 04:00:00+00:00,2024-07-04 08:00:00+00:00,2024-07-06 16:00:00+00:00,short,58185.1809,57711.83006644954,0.06484587669766397,30.694849787149547,-3.381949477241188,0.7743110125419129,28.08721132245027,56.0,14,trailing_stop
2024-07-06 16:00:00+00:00,2024-07-06 20:00:00+00:00,2024-07-10 04:00:00+00:00,short,57832.2162,58321.74224675384,0.05703658300234929,-27.920892997487268,-2.9812612013998674,0.6111214506223405,-30.291032748264794,80.0,20,trailing_stop
