signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,reason,coin
2025-10-27 21:00:00+00:00,2025-10-27 22:00:00+00:00,2025-10-28 13:00:00+00:00,short,114279.70580000001,115139.77167416357,0.08607284422744245,-74.0283160122189,-8.886054126318715,1.8426087164411853,-81.07176142209642,15.0,trail_stop,BTC
2025-10-30 08:00:00+00:00,2025-10-30 09:00:00+00:00,2025-10-31 00:00:00+00:00,short,110728.7714,109215.74995627957,0.04968169760204826,75.16947383233273,-4.917247739662468,1.008012456348218,71.26023854901847,15.0,trail_stop,BTC
2025-10-31 02:00:00+00:00,2025-10-31 03:00:00+00:00,2025-11-01 02:00:00+00:00,short,108833.3402,109799.9301,0.05204333432649825,-50.30456132231608,-5.120281971503352,1.7136217617851008,-53.71122153203434,23.0,max_hold,BTC
2025-11-05 22:00:00+00:00,2025-11-05 23:00:00+00:00,2025-11-06 22:00:00+00:00,short,103707.8783,101401.41129999999,0.05780583106635256,133.32724176211724,-5.335430825140733,1.496454759051602,129.48826569602812,23.0,max_hold,BTC
2025-11-07 06:00:00+00:00,2025-11-07 07:00:00+00:00,2025-11-07 17:00:00+00:00,short,101770.4597,102200.4996283735,0.06295904917220634,-27.07490499647851,-5.7788179461257245,0.5835621712138878,-32.27016077139035,10.0,trail_stop,BTC
2025-11-08 03:00:00+00:00,2025-11-08 04:00:00+00:00,2025-11-09 03:00:00+00:00,short,102500.24070000001,101651.48629999999,0.06176682372377355,52.424863409578414,-5.674411680530824,0.0,46.75045172904759,23.0,max_hold,BTC
2025-11-09 10:00:00+00:00,2025-11-09 11:00:00+00:00,2025-11-09 14:00:00+00:00,short,101800.4507,103487.59692129595,0.11265162009271262,-190.05975516228645,-10.406714017594018,0.0,-200.46646917988048,3.0,trail_stop,BTC
2025-11-10 16:00:00+00:00,2025-11-10 17:00:00+00:00,2025-11-11 05:00:00+00:00,long,105288.5771,105052.16162182744,0.06816099374452729,-16.114313928828743,-6.451665199306978,0.0,-22.565979128135723,12.0,trail_stop,BTC
2025-11-11 05:00:00+00:00,2025-11-11 06:00:00+00:00,2025-11-12 05:00:00+00:00,short,105189.43370000001,103424.01789999999,0.06205539027562067,109.55356646774814,-5.825515120102036,0.0,103.7280513476461,23.0,max_hold,BTC
2025-11-12 14:00:00+00:00,2025-11-12 15:00:00+00:00,2025-11-12 15:00:00+00:00,short,103919.8147,104327.95656013307,0.07537869823302051,-30.765202111234053,-7.063850658382494,0.0,-37.829052769616546,0.0,trail_stop,BTC
