signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,reason,coin
2025-10-31 06:00:00+00:00,2025-10-31 07:00:00+00:00,2025-10-31 22:00:00+00:00,short,109606.1083,109618.8758,0.05655771404147457,-0.7221006140238023,-5.5794887826635735,1.1642935664006677,-5.137295830286709,15.0,max_hold,BTC
2025-11-06 00:00:00+00:00,2025-11-06 01:00:00+00:00,2025-11-06 16:00:00+00:00,short,103670.8894,100847.2451,0.06136679036304388,173.27798781790378,-5.64777966838604,1.1861932097468544,168.81640135926457,15.0,max_hold,BTC
2025-11-08 03:00:00+00:00,2025-11-08 04:00:00+00:00,2025-11-08 19:00:00+00:00,short,102500.24070000001,101972.5826,0.06256699582153785,33.01398213790155,-5.756962626463116,0.0,27.257019511438436,15.0,max_hold,BTC
2025-11-20 09:00:00+00:00,2025-11-20 10:00:00+00:00,2025-11-20 16:00:00+00:00,short,91862.433,89951.904,0.0624363609881947,119.28647832241523,-5.108321509992578,0.0,114.17815681242266,6.0,trail_stop,BTC
2025-11-24 00:00:00+00:00,2025-11-24 01:00:00+00:00,2025-11-24 16:00:00+00:00,short,86678.9885,87296.67714322949,0.06944867383351255,-42.89765711430941,-5.437070666201196,0.0,-48.334727780510605,15.0,trail_stop,BTC
2025-12-07 21:00:00+00:00,2025-12-07 22:00:00+00:00,2025-12-08 01:00:00+00:00,short,90158.9442,90925.53461882586,0.0765198423921604,-58.65937802789484,-6.235450100497379,0.0,-64.89482812839222,3.0,trail_stop,BTC
2025-12-16 17:00:00+00:00,2025-12-16 18:00:00+00:00,2025-12-17 09:00:00+00:00,short,87053.876,86394.9107,0.06734125831958747,44.375552490945175,-5.256116797672677,0.0,39.1194356932725,15.0,max_hold,BTC
2025-12-17 22:00:00+00:00,2025-12-17 23:00:00+00:00,2025-12-18 13:00:00+00:00,long,86342.8951,87150.224,0.058260303851092744,47.03522702176892,-4.54849282567792,0.0,42.486734196091,14.0,trail_stop,BTC
2026-01-03 11:00:00+00:00,2026-01-03 12:00:00+00:00,2026-01-03 21:00:00+00:00,short,89694.0837,90507.0984292127,0.12924313985900007,-105.07657635506315,-10.48039496310734,0.0,-115.5569713181705,9.0,trail_stop,BTC
2026-01-08 23:00:00+00:00,2026-01-09 00:00:00+00:00,2026-01-09 13:00:00+00:00,short,91051.6763,90917.8593393341,0.09319180075979248,12.470643536658162,-7.631130919343752,0.0,4.83951261731441,13.0,trail_stop,BTC
2026-01-12 17:00:00+00:00,2026-01-12 18:00:00+00:00,2026-01-13 05:00:00+00:00,short,91453.5557,92216.58474361394,0.08655277519218149,-66.04228127702325,-7.153722168899634,0.0,-73.19600344592288,11.0,trail_stop,BTC
2026-01-15 17:00:00+00:00,2026-01-15 18:00:00+00:00,2026-01-16 09:00:00+00:00,short,96596.0125,95633.68149999999,0.07450795281000563,71.70131273560595,-6.44518843615522,0.0,65.25612429945073,15.0,max_hold,BTC
2026-01-16 22:00:00+00:00,2026-01-16 23:00:00+00:00,2026-01-17 14:00:00+00:00,short,95512.3377,95523.6485,0.10958162316051105,-1.2394558232430333,-9.420315052439246,0.0,-10.65977087568228,15.0,max_hold,BTC
2026-01-26 17:00:00+00:00,2026-01-26 18:00:00+00:00,2026-01-27 09:00:00+00:00,long,87676.295,87789.53047242023,0.08475120589679266,9.596842837907543,-6.691923136108699,0.0,2.9049197017988444,15.0,trail_stop,BTC
2026-01-27 11:00:00+00:00,2026-01-27 12:00:00+00:00,2026-01-27 17:00:00+00:00,long,87981.3865,87358.00900931621,0.11761461595243929,-73.31830416016795,-9.280114048872488,0.0,-82.59841820904045,5.0,trail_stop,BTC
2026-01-28 15:00:00+00:00,2026-01-28 16:00:00+00:00,2026-01-29 07:00:00+00:00,short,89418.1665,88352.4978,0.09099926026731919,96.97506339003654,-7.279649526838467,0.0,89.69541386319807,15.0,max_hold,BTC
2026-01-30 20:00:00+00:00,2026-01-30 21:00:00+00:00,2026-01-31 12:00:00+00:00,short,83886.8264,82756.8196,0.055066315372348774,62.225310821698805,-4.129403204445321,0.0,58.09590761725349,15.0,max_hold,BTC
2026-02-02 20:00:00+00:00,2026-02-02 21:00:00+00:00,2026-02-03 12:00:00+00:00,short,77907.6207,78322.48969999999,0.056027515320868,-23.24407925365271,-3.938933206807604,0.0,-27.183012460460315,15.0,max_hold,BTC
2026-02-11 18:00:00+00:00,2026-02-11 19:00:00+00:00,2026-02-12 10:00:00+00:00,long,67264.1732,67967.6036,0.05949257234004865,41.848883958189205,-3.620378818776291,0.0,38.22850513941292,15.0,max_hold,BTC
2026-03-01 18:00:00+00:00,2026-03-01 19:00:00+00:00,2026-03-02 10:00:00+00:00,long,66297.88339999999,66260.11600000001,0.07520351902048868,-2.840241384253084,-4.485972613138122,0.3213564302204823,-7.004857567170723,15.0,max_hold,BTC
2026-03-13 20:00:00+00:00,2026-03-13 21:00:00+00:00,2026-03-14 12:00:00+00:00,long,71337.3948,70708.781,0.07536803192846654,-47.37738494907407,-4.817583320854937,0.0,-52.19496826992901,15.0,max_hold,BTC
2026-03-20 05:00:00+00:00,2026-03-20 06:00:00+00:00,2026-03-20 21:00:00+00:00,short,70544.8302,70532.15329999999,0.09438391623453195,1.1964954677140895,-5.991929186978,0.0,-4.795433719263911,15.0,max_hold,BTC
2026-04-02 16:00:00+00:00,2026-04-02 17:00:00+00:00,2026-04-03 02:00:00+00:00,long,67072.1156,66272.0500965451,0.10487895824643388,-83.91003653125837,-6.293248733922082,0.0,-90.20328526518045,9.0,trail_stop,BTC
2026-04-09 05:00:00+00:00,2026-04-09 06:00:00+00:00,2026-04-09 15:00:00+00:00,long,70971.285,70979.81007422271,0.10682825318178756,0.9107187874568944,-6.8239743858094775,0.0,-5.913255598352583,9.0,trail_stop,BTC
2026-04-18 08:00:00+00:00,2026-04-18 09:00:00+00:00,2026-04-19 00:00:00+00:00,short,76668.9924,75644.6866,0.12226205455141397,125.23373159692996,-8.379982498871051,0.0,116.8537490980589,15.0,max_hold,BTC
2026-04-19 15:00:00+00:00,2026-04-19 16:00:00+00:00,2026-04-20 06:00:00+00:00,short,75787.257,74838.4297250081,0.1297591900445083,123.11905869508662,-8.795280199200704,0.0,114.32377849588592,14.0,trail_stop,BTC
2026-04-20 07:00:00+00:00,2026-04-20 08:00:00+00:00,2026-04-20 23:00:00+00:00,long,74819.4391,75778.25970000001,0.10970217888308141,105.18470897798414,-7.434403061912107,0.0,97.75030591607204,15.0,max_hold,BTC
2026-04-27 14:00:00+00:00,2026-04-27 15:00:00+00:00,2026-04-27 15:00:00+00:00,long,77785.3286,76579.58380310165,0.1307672557614144,-157.6719382390008,-9.083644191362124,0.0,-166.75558243036292,0.0,trail_stop,BTC
2026-05-03 05:00:00+00:00,2026-05-03 06:00:00+00:00,2026-05-03 21:00:00+00:00,long,78236.4639,78553.85572770574,0.2252156005689764,71.48159109243292,-15.890231699259981,0.0,55.59135939317294,15.0,trail_stop,BTC
2026-05-13 05:00:00+00:00,2026-05-13 06:00:00+00:00,2026-05-13 20:00:00+00:00,short,80955.706,79783.83725459065,0.1518009679532063,177.89080986725028,-10.980188214481409,0.0,166.91062165276887,14.0,trail_stop,BTC
