signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,reason,coin
2025-10-31 06:00:00+00:00,2025-10-31 07:00:00+00:00,2025-10-31 22:00:00+00:00,short,109606.1083,109618.8758,0.05655771404147457,-0.7221006140238023,-5.5794887826635735,1.1642935664006677,-5.137295830286709,15.0,max_hold,BTC
2025-11-06 00:00:00+00:00,2025-11-06 01:00:00+00:00,2025-11-06 16:00:00+00:00,short,103670.8894,100847.2451,0.06136679036304388,173.27798781790378,-5.64777966838604,1.1861932097468544,168.81640135926457,15.0,max_hold,BTC
2025-11-08 03:00:00+00:00,2025-11-08 04:00:00+00:00,2025-11-08 19:00:00+00:00,short,102500.24070000001,101972.5826,0.06256699582153785,33.01398213790155,-5.756962626463116,0.0,27.257019511438436,15.0,max_hold,BTC
2025-11-20 09:00:00+00:00,2025-11-20 10:00:00+00:00,2025-11-21 01:00:00+00:00,short,91862.433,87090.1192,0.0624363609881947,297.96590716574343,-5.027915767013081,0.0,292.93799139873033,15.0,max_hold,BTC
2025-11-24 00:00:00+00:00,2025-11-24 01:00:00+00:00,2025-11-24 16:00:00+00:00,short,86678.9885,87696.1756118754,0.07065337987627611,-71.86770742058421,-5.544087619942945,0.0,-77.41179504052715,15.0,trail_stop,BTC
2025-12-07 21:00:00+00:00,2025-12-07 22:00:00+00:00,2025-12-08 01:00:00+00:00,short,90158.9442,91317.81866259103,0.077636538105883,-89.97100137488343,-6.340152426891228,0.0,-96.31115380177465,3.0,trail_stop,BTC
2025-12-16 17:00:00+00:00,2025-12-16 18:00:00+00:00,2025-12-17 09:00:00+00:00,short,87053.876,86394.9107,0.06812268503427682,44.89048558041847,-5.317108679673702,0.0,39.57337690074477,15.0,max_hold,BTC
2026-01-28 15:00:00+00:00,2026-01-28 16:00:00+00:00,2026-01-29 07:00:00+00:00,short,89418.1665,88352.4978,0.09357833196675892,99.7234993751853,-7.485967007017496,0.0,92.2375323681678,15.0,max_hold,BTC
2026-01-30 20:00:00+00:00,2026-01-30 21:00:00+00:00,2026-01-31 12:00:00+00:00,short,83886.8264,82756.8196,0.05662698713113067,63.98888052169031,-4.246437418887013,0.0,59.7424431028033,15.0,max_hold,BTC
2026-02-02 20:00:00+00:00,2026-02-02 21:00:00+00:00,2026-02-03 12:00:00+00:00,short,77907.6207,78322.48969999999,0.057615429098732754,-23.90285545476167,-4.050569181977275,0.0,-27.953424636738944,15.0,max_hold,BTC
2026-03-13 20:00:00+00:00,2026-03-13 21:00:00+00:00,2026-03-14 12:00:00+00:00,long,71337.3948,70708.781,0.07726721619486791,-48.571238387676836,-4.938980658836766,0.0,-53.510219046513605,15.0,max_hold,BTC
2026-03-20 05:00:00+00:00,2026-03-20 06:00:00+00:00,2026-03-20 21:00:00+00:00,short,70544.8302,70532.15329999999,0.09676227804294563,1.2266457225231828,-6.142918636299172,0.0,-4.916272913775989,15.0,max_hold,BTC
2026-04-09 05:00:00+00:00,2026-04-09 06:00:00+00:00,2026-04-09 21:00:00+00:00,long,70971.285,72223.3265,0.11050132415235038,138.35224364369412,-7.120437382004122,0.0,131.23180626169,15.0,max_hold,BTC
2026-04-20 07:00:00+00:00,2026-04-20 08:00:00+00:00,2026-04-20 23:00:00+00:00,long,74819.4391,75778.25970000001,0.11238946879705554,107.7613379056748,-7.616517916585937,0.0,100.14481998908886,15.0,max_hold,BTC
2026-04-27 14:00:00+00:00,2026-04-27 15:00:00+00:00,2026-04-27 15:00:00+00:00,long,77785.3286,76531.99717805136,0.1339705606644123,-167.90951329678367,-9.303290394623236,0.0,-177.21280369140692,0.0,stop,BTC
2026-05-03 05:00:00+00:00,2026-05-03 06:00:00+00:00,2026-05-03 21:00:00+00:00,long,78236.4639,78777.3597,0.2305921821641531,124.72634284542495,-16.29277209623763,0.0,108.43357074918733,15.0,max_hold,BTC
